idx	radius
1	0.387
2	0.0358
3	0.339
4	0.893
5	0.731
6	0.0
7	0.206
8	0.24
9	0.554
10	0.567
11	0.316
12	0.146
13	0.935
14	0.57
15	0.277
16	0.919
17	0.235
18	0.0
19	0.637
20	0.45
21	0.751
22	0.705
23	0.706
24	0.63
25	0.0
26	0.0
27	0.622
28	0.744
29	0.935
30	0.318
31	0.477
32	0.832
33	0.0
34	0.426
35	0.466
36	0.919
37	0.262
38	0.0
39	0.265
40	0.893
41	0.935
42	0.308
43	0.935
44	0.112
45	0.858
46	0.0
47	0.423
48	0.764
49	0.245
50	0.102
51	0.935
52	0.876
53	0.0
54	0.935
55	0.417
56	0.0
57	0.0
58	0.287
59	0.618
60	0.588
61	0.515
62	0.0
63	0.0
64	0.0125
65	0.312
66	0.0
67	0.527
68	0.655
69	0.329
70	0.103
71	0.0
72	0.171
73	0.322
74	0.827
75	0.264
76	0.721
77	0.52
78	0.858
79	0.935
80	0.0
81	0.0
82	0.0
83	0.0
84	0.371
85	0.516
86	0.0609
87	0.599
88	0.479
89	0.686
90	0.667
91	0.466
92	0.799
93	0.0
94	0.935
95	0.935
96	0.935
97	0.935
98	0.266
99	0.0203
100	0.723
101	0.743
102	0.935
103	0.881
104	0.0
105	0.0
106	0.478
107	0.0
108	0.935
109	0.395
110	0.559
111	0.28
112	0.935
113	0.28
114	0.681
115	0.192
116	0.0906
117	0.0
118	0.935
119	0.0174
120	0.714
121	0.935
122	0.109
123	0.935
124	0.203
125	0.816
126	0.112
127	0.146
128	0.0
129	0.331
130	0.0
131	0.909
132	0.666
133	0.919
134	0.0
135	0.935
136	0.0136
137	0.513
138	0.183
139	0.423
140	0.864
141	0.387
142	0.909
143	0.935
144	0.0
145	0.793
146	0.0
147	0.0
148	0.0
149	0.0
150	0.455
151	0.782
152	0.566
153	0.935
154	0.805
155	0.0736
156	0.61
157	0.205
158	0.591
159	0.0
160	0.115
161	0.577
162	0.0
163	0.0
164	0.519
165	0.0
166	0.301
167	0.0
168	0.557
169	0.487
170	0.935
171	0.0
172	0.0261
173	0.0
174	0.935
175	0.935
176	0.116
177	0.935
178	0.737
179	0.0362
180	0.265
181	0.0
182	0.362
183	0.0998
184	0.501
185	0.112
186	0.745
187	0.935
188	0.909
189	0.935
190	0.372
191	0.71
192	0.159
193	0.0
194	0.935
195	0.334
196	0.0865
197	0.306
198	0.022
199	0.782
200	0.229
201	0.0
202	0.486
203	0.893
204	0.569
205	0.919
206	0.935
207	0.904
208	0.686
209	0.0271
210	0.0
211	0.182
212	0.0
213	0.0443
214	0.909
215	0.0
216	0.635
217	0.0
218	0.867
219	0.879
220	0.655
221	0.0846
222	0.485
223	0.23
224	0.678
225	0.935
226	0.0
227	0.18
228	0.805
229	0.935
230	0.406
231	0.549
232	0.125
233	0.356
234	0.06
235	0.607
236	0.0
237	0.298
238	0.0
239	0.0
240	0.587
241	0.935
242	0.475
243	0.935
244	0.935
245	0.0
246	0.652
247	0.935
248	0.375
249	0.321
250	0.0
251	0.935
252	0.754
253	0.345
254	0.278
255	0.727
256	0.737
257	0.319
258	0.755
259	0.691
260	0.0295
261	0.662
262	0.441
263	0.424
264	0.935
265	0.0
266	0.733
267	0.443
268	0.0
269	0.812
270	0.0
271	0.775
272	0.835
273	0.935
274	0.935
275	0.652
276	0.367
277	0.325
278	0.172
279	0.0
280	0.0
281	0.214
282	0.0
283	0.0
284	0.196
285	0.0
286	0.672
287	0.935
288	0.334
289	0.297
290	0.935
291	0.517
292	0.438
293	0.335
294	0.533
295	0.856
296	0.0
297	0.935
298	0.175
299	0.0
300	0.867
301	0.488
302	0.632
303	0.0
304	0.0
305	0.584
306	0.919
307	0.557
308	0.61
309	0.0
310	0.387
311	0.0501
312	0.0
313	0.413
314	0.224
315	0.0
